Book,Chapter,Verse,Text
루카,1,37,"하느님께는 불가능한 일이 없다."
요한,14,6,"나는 길이요 진리요 생명이다."
1테살,5,16,항상 기뻐하십시오.
시편,23,1,"주님은 나의 목자, 아쉬울 것 없어라."
1테살,5,18,모든 일에 감사하십시오.
마르,16,15,너희는 온 세상에 가서 복음을 선포하여라.
잠언,9,10,"주님을 경외함은 지혜의 시작이다."
1요한,4,8,하느님은 사랑이십니다.
요한,8,32,진리가 너희를 자유롭게 할 것이다.
마태,7,21,"하늘에 계신 내 아버지의 뜻을 실행하는 이라야 들어간다."
마태,5,14,너희는 세상의 빛이다.
잠언,3,6,그분께서 네 앞길을 곧게 해 주시리라.
요한,13,35,"너희가 서로 사랑하면, 모든 사람이 그것을 보고 너희가 내 제자라는 것을 알게 될 것이다."
시편,121,5,"주님은 너를 지키시는 분"
시편,121,7,주님께서 모든 악에서 너를 지키시고 네 생명을 지키신다.
이사야,49,15,"나는 너를 잊지 않는다."
필리,4,4,주님 안에서 늘 기뻐하십시오.
시편,126,5,눈물로 씨 뿌리던 이들 환호하며 거두리라.
필리,4,6,아무것도 걱정하지 마십시오.
사도,4,32,"한마음 한뜻"
요한,14,1,"하느님을 믿고 또 나를 믿어라."
요한,14,27,내 평화를 너희에게 준다.
마태,5,8,"행복하여라, 마음이 깨끗한 사람들! 그들은 하느님을 볼 것이다."
에페,4,32,"여러분도 서로 용서하십시오."
마르,9,23,"믿는 이에게는 모든 것이 가능하다."
마르,13,31,"하늘과 땅은 사라지더라도 내 말은 결코 사라지지 않을 것이다."
1테살,5,16,언제나 기뻐하십시오.
1테살,5,17,끊임없이 기도하십시오.
1테살,5,18,모든 일에 감사하십시오.
요한,1,1,한처음에 말씀이 계셨다.
요한,1,14,"말씀이 사람이 되시어 우리 가운데 사셨다."
요한,15,5,"나는 포도나무요 너희는 가지다. 너희는 나 없이 아무것도 하지 못한다."
스바,3,17,"그분께서 너를 두고 기뻐하며 즐거워하신다."
마태,4,4,"사람은 빵만으로 살지 않고, 하느님의 입에서 나오는 모든 말씀으로 산다."
마태,4,19,"나를 따라오너라. 내가 너희를 사람 낚는 어부로 만들겠다."
마태,5,14,너희는 세상의 빛이다.
마태,5,44,너희는 원수를 사랑하여라.
